Code	Origin	Niche	Subpopulation	Average fold sequence coverage	Total size assembly (Mb)	GC content (%)	Nr of scaffolds	N50 (Kb)	Genes annotated (homology to S288c + de novo prediction)	BioProject ID	BioSample ID	Accession										
BE028	Belgium	Beer (Ale refermentation)	Mixed	123.7	12.36	38.1	373	904	"6,338"	323691	SAMN05190389	MBZA00000000
BE029	Belgium	Beer (Ale refermentation)	Mixed	89.3	12.36	38.1	397	897	"6,338"	323691	SAMN05190390	MBYZ00000000
BE030	Belgium	Beer (Trappist)	Wine	182.6	12.01	38.07	223	903	"6,269"	323691	SAMN05190391	MBYY00000000
BE031	Belgium	Beer (Trappist)	Belgium/Germany	106	11.99	38.07	212	902	"6,196"	323691	SAMN05190392	MBYX00000000
BE032	England	Beer	Beer2	100.9	12.19	38.09	251	897	"6,304"	323691	SAMN05190393	MBYW00000000
BE033	England	Beer (Strong ale)	Wine	123.8	11.99	38.16	124	889	"6,243"	323691	SAMN05190394	MBYV00000000
BE034	Belgium	Beer (Saison)	Beer2	110.8	12.08	38.1	78	893	"6,243"	323691	SAMN05190395	MBYU00000000
BE035	Belgium (UK origin)	Beer (Trappist)	Mosaic	202.2	12.12	38.08	311	902	"6,174"	323691	SAMN05190396	MBYT00000000
BE036	Belgium (UK origin)	Beer (Trappist)	Britain	115	12.1	38.06	270	912	"6,179"	323691	SAMN05190397	MBYS00000000
BE037	Belgium (UK origin)	Beer (Trappist)	Britain	121.9	12.11	38.07	289	896	"6,181"	323691	SAMN05190398	MBYR00000000
BE038	Unknown	Beer (Lager)	Mixed	106.1	12.3	38.09	381	895	"6,293"	323691	SAMN05190399	MBYQ00000000
BE039	Czech	Beer (Lager)	Beer2	175.8	12.19	38.09	264	895	"6,325"	323691	SAMN05190400	MBYP00000000
BE040	US	Beer (Lager)	Beer2	106.9	12.09	38.09	208	895	"6,288"	323691	SAMN05190401	MBYO00000000
BE041	Belgium	Beer (Lager)	Belgium/Germany	92.6	12.06	38.06	228	899	"6,174"	323691	SAMN05190402	MBYN00000000
BE042	Belgium	Beer (Lager)	Mosaic	85.9	12.01	38.09	194	899	"6,160"	323691	SAMN05190403	MBYM00000000
BE043	Belgium	Beer (Lager)	Belgium/Germany	151.4	12.13	38.07	286	896	"6,224"	323691	SAMN05190404	MBYL00000000
BE044	US (California)	Beer (Pale ale)	US	26.4	11.99	38.12	130	924	"6,099"	323691	SAMN05190405	MBYK00000000
BE045	England	Beer (Bitter)	Britain	142.5	12.29	38.1	517	894	"6,279"	323691	SAMN05190406	MBYJ00000000
BE046	Germany	Beer	Belgium/Germany	110.4	12.26	38.1	489	895	"6,275"	323691	SAMN05190407	MBYI00000000
BE047	Ireland	Beer (Stout)	Britain	178.4	12.25	38.11	466	900	"6,260"	323691	SAMN05190408	MBYH00000000
BE048	England	Beer (Pale ale)	Britain	186.2	12.24	38.1	476	889	"6,276"	323691	SAMN05190409	MBYG00000000
BE049	England	Beer (Pale ale)	Britain	165.7	12.26	38.12	488	896	"6,275"	323691	SAMN05190410	MBYF00000000
BE050	England	Beer	Britain	174.2	12.31	38.11	536	894	"6,306"	323691	SAMN05190411	MBYE00000000
BE051	US (East Coast)	Beer	US	182.8	12.14	38.11	370	900	"6,232"	323691	SAMN05190412	MBYD00000000
BE052	Australia	Beer (Pale ale)	NS	170.5	12.57	38.16	599	897	"6,451"	323691	SAMN05190413	MBYC00000000
BE053	Europe	Beer	Britain	116.7	12.16	38.11	430	894	"6,253"	323691	SAMN05190414	MBYB00000000
BE054	England	Beer	Britain	128.8	12.2	38.12	437	891	"6,239"	323691	SAMN05190415	MBYA00000000
BE055	England	Beer	Britain	159.9	12.25	38.1	497	900	"6,254"	323691	SAMN05190416	MBXZ00000000
BE056	England	Beer (Pale ale)	Britain	134	12.31	38.09	525	914	"6,298"	323691	SAMN05190417	MBXY00000000
BE057	England	Beer	Mosaic	175.7	12.34	38.1	566	903	"6,283"	323691	SAMN05190418	MBXX00000000
BE058	England	Beer	Mosaic	116.6	12.15	38.12	395	893	"6,236"	323691	SAMN05190419	MBXW00000000
BE059	England	Beer	Beer2	134.6	12.38	38.15	398	896	"6,388"	323691	SAMN05190420	MBXV00000000
BE060	Scotland	Beer (Ale)	Mosaic	228.7	12.27	38.1	495	904	"6,239"	323691	SAMN05190421	MBXU00000000
BE061	Germany	Beer (Alt)	Mixed	96.5	12.27	38.15	416	899	"6,310"	323691	SAMN05190422	MBXT00000000
BE062	England	Beer	Beer2	176.3	12.4	38.15	547	899	"6,419"	323691	SAMN05190423	MBXS00000000
BE063	England	Beer	Beer2	246.9	12.32	38.11	422	905	"6,312"	323691	SAMN05190424	MBXR00000000
BE064	England	Beer	Britain	204.4	12.29	38.1	575	893	"6,267"	323691	SAMN05190425	MBXQ00000000
BE065	US (California)	Beer	US	139.3	12.1	38.11	402	896	"6,200"	323691	SAMN05190426	MBXP00000000
BE066	US (Pacific North West America)	Beer (Pale ale)	Britain	108.6	12.17	38.09	443	897	"6,242"	323691	SAMN05190427	MBXO00000000
BE067	England	Beer	US	262.6	12.18	38.11	438	910	"6,217"	323691	SAMN05190428	MBXN00000000
BE068	US (California)	Beer (Pale ale)	US	33.5	11.91	38.11	157	887	"6,137"	323691	SAMN05190429	MBXM00000000
BE069	US (California)	Beer	Britain	164.9	12.27	38.12	478	905	"6,267"	323691	SAMN05190430	MBXL00000000
BE070	France	Beer	Britain	60.8	11.99	38.11	178	887	"6,144"	323691	SAMN05190431	MBXK00000000
BE071	US (San Diego)	Beer	US	237.7	12.03	38.11	331	897	"6,193"	323691	SAMN05190432	MBXJ00000000
BE072	Germany	Beer (Hefeweizen)	Mosaic	128.1	12.02	38.11	317	893	"6,261"	323691	SAMN05190433	MBXI00000000
BE073	Germany	Beer (Hefeweizen)	Belgium/Germany	204	12.33	38.1	542	904	"6,314"	323691	SAMN05190434	MBXH00000000
BE074	Germany	Beer (Hefeweizen)	Mosaic	201.4	12.11	38.1	334	895	"6,242"	323691	SAMN05190435	MBXG00000000
BE075	Belgium	Beer (Wheat)	Belgium/Germany	237.7	12.21	38.11	430	901	"6,278"	323691	SAMN05190436	MBXF00000000
BE076	Belgium	Beer (Wheat)	Belgium/Germany	257.6	12.19	38.1	400	903	"6,278"	323691	SAMN05190437	MBXE00000000
BE077	Belgium	Beer (Trappist)	Belgium/Germany	187.8	12.15	38.1	389	905	"6,268"	323691	SAMN05190438	MBXD00000000
BE078	Belgium	Beer (Trappist)	Belgium/Germany	195	12.19	38.1	402	898	"6,270"	323691	SAMN05190439	MBXC00000000
BE079	Belgium	Beer (Trappist)	Britain	185.9	12.21	38.1	406	895	"6,218"	323691	SAMN05190440	MBXB00000000
BE080	Belgium	Beer	Beer2	152.8	12.34	38.12	497	902	"6,402"	323691	SAMN05190441	MBXA00000000
BE081	Belgium	Beer (Ale)	Belgium/Germany	143.7	12.26	38.11	537	900	"6,340"	323691	SAMN05190442	MBWZ00000000
BE082	Belgium	Beer	US	175.3	12.18	38.1	468	898	"6,209"	323691	SAMN05190443	MBWY00000000
BE083	Belgium	Beer (Saison)	Beer2	83.8	12.11	38.13	182	918	"6,283"	323691	SAMN05190444	MBWX00000000
BE084	Belgium	Beer	Beer2	204.5	12.14	38.14	228	920	"6,309"	323691	SAMN05190445	MBWW00000000
BE085	Belgium	Beer (Strong ale)	Beer2	342.8	12.48	38.14	533	905	"6,451"	323691	SAMN05190446	MBWV00000000
BE086	Belgium	Beer	Beer2	198.7	12.36	38.28	563	904	"6,443"	323691	SAMN05190447	MBWU00000000
BE087	Germany	Beer (Lager)	Belgium/Germany	205.1	12.29	38.12	490	901	"6,267"	323691	SAMN05190448	MBWT00000000
BE088	Germany	Beer	Wine	200.5	12.22	38.16	214	898	"6,287"	323691	SAMN05190449	MBWS00000000
BE089	Germany	Beer	Britain	137.9	12.29	38.1	505	898	"6,240"	323691	SAMN05190450	MBWR00000000
BE090	England	Beer	Britain	186.2	12.29	38.11	482	914	"6,273"	323691	SAMN05190451	MBWQ00000000
BE091	Germany	Beer (Lager)	Beer2	293.2	12.4	38.16	504	920	"6,417"	323691	SAMN05190452	MBWP00000000
BE092	Belgium	Beer (Strong ale)	Beer2	212.6	12.34	38.13	386	902	"6,369"	323691	SAMN05190453	MBWO00000000
BE093	Germany	Beer (Hefeweizen)	Mosaic	237	12.14	38.1	347	898	"6,237"	323691	SAMN05190454	MBWN00000000
BE094	Germany	Beer (Lager)	Britain	157	12.3	38.09	517	893	"6,305"	323691	SAMN05190455	MBWM00000000
BE095	Unknown	Beer	NS	259.4	12.74	38.15	787	915	"6,508"	323691	SAMN05190456	MBWL00000000
BE096	Unknown	Beer	NS	306.1	12.92	38.14	1012	913	"6,552"	323691	SAMN05190457	MBWK00000000
BE097	Unknown	Beer	NS	287.4	12.81	38.14	898	906	"6,538"	323691	SAMN05190458	MBWJ00000000
BE098	US (California)	Beer (Pale ale)	US	335.9	12.2	38.11	478	902	"6,214"	323691	SAMN05190459	MBWI00000000
BE099	England	Beer (Bitter)	Britain	403.7	12.49	38.12	725	897	"6,348"	323691	SAMN05190460	MBWH00000000
BE100	England	Beer	Britain	260	12.35	38.12	638	897	"6,314"	323691	SAMN05190461	MBWG00000000
BE101	England	Beer	Britain	229.8	12.36	38.11	588	898	"6,261"	323691	SAMN05190462	MBWF00000000
BE102	US	Beer	US	296.3	12.17	38.1	395	900	"6,238"	323691	SAMN05190463	MBWE00000000
BI001	China	Bioethanol	Asian	191.6	11.89	38.14	128	899	"6,227"	323691	SAMN05190464	MBWD00000000
BI002	Brazil	Bioethanol	Mosaic	108.2	12.5	38.17	414	910	"6,369"	323691	SAMN05190465	MBWC00000000
BI003	China	Bioethanol	Asian	106.5	11.87	38.16	93	929	"6,173"	323691	SAMN05190466	MBWB00000000
BI004	China	Bioethanol	Asian	116.6	11.91	38.15	124	899	"6,204"	323691	SAMN05190467	MBWA00000000
BI005	Brazil	Bioethanol	Mosaic	134.8	12.52	38.15	304	911	"6,355"	323691	SAMN05190468	MBVZ00000000
BR001	Unknown	Bread	Mixed	124.7	12.36	38.11	401	902	"6,342"	323691	SAMN05190469	MBVY00000000
BR002	Belgium	Bread	Mixed	101.3	12.32	38.12	385	895	"6,321"	323691	SAMN05190470	MBVX00000000
BR003	Belgium	Bread	Mixed	102.5	12.35	38.12	363	905	"6,297"	323691	SAMN05190471	MBVW00000000
BR004	Belgium	Bread	Mixed	94.4	12.38	38.1	358	905	"6,326"	323691	SAMN05190472	MBVV00000000
LA001	Lab cross	Lab	Mosaic	121.6	12.09	38.1	93	916	"6,199"	323691	SAMN05190473	MBVU00000000
LA002	Lab cross	Lab	Mosaic	340.3	12.24	38.1	76	929	"6,497"	323691	SAMN05190474	MBVT00000000
SA001	Japan	Saké	Asian	100.8	11.86	38.16	117	897	"6,197"	323691	SAMN05190475	MBVS00000000
SA002	Japan	Saké	Wine	120.3	12.07	38.14	90	915	"6,286"	323691	SAMN05190476	MBVR00000000
SA003	Japan	Saké	Asian	105	11.95	38.17	86	903	"6,125"	323691	SAMN05190477	MBVQ00000000
SA004	Japan	Saké	Asian	165.2	11.9	38.11	123	896	"6,191"	323691	SAMN05190478	MBVP00000000
SA005	Japan	Saké	Asian	114.5	11.86	38.15	88	897	"6,173"	323691	SAMN05190479	MBVO00000000
SA006	Japan	Saké	Asian	119.6	11.79	38.17	96	898	"6,173"	323691	SAMN05190480	MBVN00000000
SA007	Japan	Saké	Asian	135.2	11.87	38.1	123	898	"6,199"	323691	SAMN05190481	MBVM00000000
SP001	Unknown	Spirits	Mixed	246.6	13.27	38.05	1485	914	"6,655"	323691	SAMN05190482	MBVL00000000
SP002	France	Spirits	Wine	121.6	12.08	38.13	85	899	"6,243"	323691	SAMN05190483	MBVK00000000
SP003	Unknown	Spirits	Mixed	119.8	12.31	38.13	421	899	"6,319"	323691	SAMN05190484	MBVJ00000000
SP004	Brazil	Spirits	Wine	89.2	12.26	38.15	272	898	"6,314"	323691	SAMN05190485	MBVI00000000
SP005	Brazil	Spirits	Belgium/Germany	117.8	12.1	38.08	265	918	"6,205"	323691	SAMN05190486	MBVH00000000
SP006	Brazil	Spirits	Mosaic	166.5	12.08	38.13	112	898	"6,225"	323691	SAMN05190487	MBVG00000000
SP007	Scotland	Spirits	Mosaic	96.2	12.36	38.12	326	902	"6,339"	323691	SAMN05190488	MBVF00000000
SP008	Scotland	Spirits	Mosaic	183.5	12.41	38.14	587	895	"6,413"	323691	SAMN05190489	MBVE00000000
SP009	US (Tennessee)	Spirits	Mosaic	192.5	12.31	38.12	485	900	"6,359"	323691	SAMN05190490	MBVD00000000
SP010	Unknown	Spirits	Mosaic	212.7	12.4	38.13	500	901	"6,406"	323691	SAMN05190491	MBVC00000000
SP011	Unknown	Spirits	Wine	249.9	12.06	38.15	177	894	"6,280"	323691	SAMN05190492	MBVB00000000
WI001	France	Wine	Wine	108.9	12.01	38.13	91	892	"6,227"	323691	SAMN05190493	MBVA00000000
WI002	Russia	Wine	Mosaic	115.4	12.06	38.12	58	896	"6,183"	323691	SAMN05190494	MBUZ00000000
WI003	France	Wine	Wine	114.2	12.25	38.15	125	889	"6,259"	323691	SAMN05190495	MBUY00000000
WI004	Germany	Wine	Wine	103.4	12.04	38.12	81	896	"6,260"	323691	SAMN05190496	MBUX00000000
WI005	Germany	Wine	Wine	114.7	11.9	38.14	117	896	"6,246"	323691	SAMN05190497	MBUW00000000
WI006	Germany	Wine	Wine	120.8	12.04	38.14	106	902	"6,248"	323691	SAMN05190498	MBUV00000000
WI007	Germany	Wine	Wine	142	12.09	38.16	197	902	"6,303"	323691	SAMN05190499	MBUU00000000
WI008	Unknown	Wine	Mosaic	106.2	11.86	38.15	207	915	"6,176"	323691	SAMN05190500	MBUT00000000
WI009	Germany	Wine	Wine	110.1	12.23	38.12	101	902	"6,243"	323691	SAMN05190501	MBUS00000000
WI010	France	Wine	Wine	120.1	12.33	38.14	222	898	"6,312"	323691	SAMN05190502	MBUR00000000
WI011	France	Wine	Wine	125.3	12.17	38.09	110	890	"6,274"	323691	SAMN05190503	MBUQ00000000
WI012	Unknown	Wine	Britain	122.9	12.16	38.09	306	897	"6,171"	323691	SAMN05190504	MBUP00000000
WI013	France	Wine	Wine	179.1	12.11	38.13	172	903	"6,268"	323691	SAMN05190505	MBUO00000000
WI014	Germany	Wine	Wine	131.5	11.9	38.12	82	889	"6,207"	323691	SAMN05190506	MBUN00000000
WI015	France	Wine	Wine	120.6	11.87	38.11	61	890	"6,243"	323691	SAMN05190507	MBUM00000000
WI016	Italy	Wine	Mosaic	86.1	12.51	38.14	458	909	"6,527"	323691	SAMN05190508	MBUL00000000
WI017	Spain	Wine	Wine	203.9	12.08	38.15	150	905	"6,297"	323691	SAMN05190509	MBUK00000000
WI018	Unknown	Wine	Wine	111.6	12.17	38.15	188	897	"6,277"	323691	SAMN05190510	MBUJ00000000
WI019	Unknown	Wine	Mosaic	145.1	12.2	38.12	216	893	"6,366"	323691	SAMN05190511	MBUI00000000
WL001	Ghana	Wild (Cocoa)	Mosaic	139.3	12.15	38.15	185	903	"6,272"	323691	SAMN05190512	MBUH00000000
WL002	Ghana	Wild (Cocoa)	Mosaic	157.3	12.01	38.16	69	904	"6,211"	323691	SAMN05190513	MBUG00000000
WL003	Ivory coast	Wild (Cocoa)	Mosaic	200.4	12.08	38.16	158	901	"6,250"	323691	SAMN05190514	MBUF00000000
WL004	US	Wild	Asian	99.1	11.89	38.14	67	887	"6,222"	323691	SAMN05190515	MBUE00000000
WL005	Denmark	Wild	Mixed	269.5	12.93	38.15	1156	901	"6,611"	323691	SAMN05190516	MBUD00000000
WL006	Denmark	Wild	Mixed	246	12.82	38.17	1050	901	"6,575"	323691	SAMN05190517	MBUC00000000
WL007	Denmark	Wild	Mixed	214.1	12.81	38.15	973	902	"6,521"	323691	SAMN05190518	MBUB00000000	
