AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	alternative_isolate_s	collection_date_s	geo_loc_name_s	isolation_source_s	strain_s	common_loci_l	matching_alleles_l	main_only_loci_l	other_only_loci_l	mismatches_l	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	sample_type_s
202	SAMN05190400	SRX2914038	Illumina HiSeq 2000	beer039	2017-06-13	2418	1843	2017-06-13	SRR5678681	SRS2280305	BE039	Beer isolate 39	01-Jan-1950	Czech Republic	Beer	beer039						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190383	SRX2914040	Illumina HiSeq 2000	beer022	2017-06-13	1407	907	2017-06-13	SRR5678679	SRS2280306	BE022	Beer isolate 22	01-Jan-1950	Belgium	Beer 	beer022						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190384	SRX2914041	Illumina HiSeq 2000	beer023	2017-06-13	1257	814	2017-06-13	SRR5678678	SRS2280307	BE023	Beer isolate 23	01-Jan-1950	Belgium	Beer 	beer023						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190385	SRX2914042	Illumina HiSeq 2000	beer024	2017-06-13	1322	860	2017-06-13	SRR5678677	SRS2280308	BE024	Beer isolate 24	01-Jan-1950	Belgium	Beer 	beer024						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190386	SRX2914043	Illumina HiSeq 2000	beer025	2017-06-13	1544	1013	2017-06-13	SRR5678676	SRS2280309	BE025	Beer isolate 25	01-Jan-1950	Belgium	Beer 	beer025						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190387	SRX2914044	Illumina HiSeq 2000	beer026	2017-06-13	1620	1070	2017-06-13	SRR5678675	SRS2280310	BE026	Beer isolate 26	01-Jan-1950	Belgium	Beer 	beer026						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190389	SRX2914046	Illumina HiSeq 2000	beer028	2017-06-13	1509	981	2017-06-13	SRR5678673	SRS2280311	BE028	Beer isolate 28	01-Jan-1950	Belgium	Beer 	beer028						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190388	SRX2914045	Illumina HiSeq 2000	beer027	2017-06-13	1108	714	2017-06-13	SRR5678674	SRS2280312	BE027	Beer isolate 27	01-Jan-1950	Belgium	Beer 	beer027						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190390	SRX2914047	Illumina HiSeq 2000	beer029	2017-06-13	1088	727	2017-06-13	SRR5678672	SRS2280313	BE029	Beer isolate 29	01-Jan-1950	Belgium	Beer 	beer029						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190391	SRX2914048	Illumina HiSeq 2000	beer030	2017-06-13	2251	1514	2017-06-13	SRR5678671	SRS2280314	BE030	Beer isolate 30	01-Jan-1950	Belgium	Beer	beer030						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190490	SRX2914049	Illumina HiSeq 2500	spirits009	2017-06-15	511	340	2017-06-15	SRR5688262	SRS2280315	SP009	Spirits isolate 9	15-Jun-1995	USA	Spirits	spirits009						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190490	SRX2914049	Illumina HiSeq 2500	spirits009	2017-06-15	1746	719	2017-06-15	SRR5688263	SRS2280315	SP009	Spirits isolate 9	15-Jun-1995	USA	Spirits	spirits009						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190486	SRX2914051	Illumina HiSeq 2000	spirits005	2017-06-13	1446	975	2017-06-13	SRR5678668	SRS2280316	SP005	Spirits isolate 5	01-Jan-1950	Brazil	Spirits	spirits005						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190491	SRX2914050	Illumina HiSeq 2500	spirits010	2017-06-15	692	458	2017-06-15	SRR5688264	SRS2280317	SP010	Spirits isolate 10	15-Jun-1995	missing	Spirits	spirits010						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190491	SRX2914050	Illumina HiSeq 2500	spirits010	2017-06-15	1839	748	2017-06-15	SRR5688265	SRS2280317	SP010	Spirits isolate 10	15-Jun-1995	missing	Spirits	spirits010						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190487	SRX2914052	Illumina HiSeq 2000	spirits006	2017-06-13	2071	1389	2017-06-13	SRR5678667	SRS2280318	SP006	Spirits isolate 6	01-Jan-1950	Brazil	Spirits	spirits006						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
188	SAMN05190488	SRX2914053	Illumina HiSeq 2000	spirits007	2017-06-13	1173	713	2017-06-13	SRR5678666	SRS2280319	SP007	Spirits isolate 7	01-Jan-1950	United Kingdom: Scotland	Spirits	spirits007						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190489	SRX2914054	Illumina HiSeq 2500	spirits008	2017-06-15	462	311	2017-06-15	SRR5688260	SRS2280320	SP008	Spirits isolate 8	15-Jun-1995	United Kingdom: Scotland	Spirits	spirits008						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190489	SRX2914054	Illumina HiSeq 2500	spirits008	2017-06-15	1707	716	2017-06-15	SRR5688261	SRS2280320	SP008	Spirits isolate 8	15-Jun-1995	United Kingdom: Scotland	Spirits	spirits008						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190482	SRX2914055	Illumina HiSeq 2000	spirits001	2017-06-13	3356	2216	2017-06-13	SRR5678664	SRS2280321	SP001	Spirits isolate 1	01-Jan-1950	missing	Spirits	spirits001						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190483	SRX2914056	Illumina HiSeq 2000	spirits002	2017-06-13	1577	1041	2017-06-13	SRR5678663	SRS2280322	SP002	Spirits isolate 2	01-Jan-1950	France	Spirits	spirits002						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190485	SRX2914058	Illumina HiSeq 2000	spirits004	2017-06-13	1083	724	2017-06-13	SRR5678661	SRS2280323	SP004	Spirits isolate 4	01-Jan-1950	Brazil	Spirits	spirits004						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190484	SRX2914057	Illumina HiSeq 2000	spirits003	2017-06-13	1527	1026	2017-06-13	SRR5678662	SRS2280324	SP003	Spirits isolate 3	01-Jan-1950	missing	Spirits	spirits003						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190510	SRX2914059	Illumina HiSeq 2000	wine018	2017-06-13	1324	873	2017-06-13	SRR5678660	SRS2280325	WI018	Wine isolate 18	01-Jan-1950	missing	Wine	wine018						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190511	SRX2914060	Illumina HiSeq 2500	wine019	2017-06-15	507	355	2017-06-15	SRR5688274	SRS2280326	WI019	Wine isolate 19	15-Jun-1995	missing	Wine	wine019						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190511	SRX2914060	Illumina HiSeq 2500	wine019	2017-06-15	1162	510	2017-06-15	SRR5688275	SRS2280326	WI019	Wine isolate 19	15-Jun-1995	missing	Wine	wine019						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
188	SAMN05190508	SRX2914061	Illumina HiSeq 2000	wine016	2017-06-13	1078	660	2017-06-13	SRR5678658	SRS2280327	WI016	Wine isolate 16	01-Jan-1950	Italy	Wine	wine016						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190509	SRX2914062	Illumina HiSeq 2000	wine017	2017-06-13	2471	1618	2017-06-13	SRR5678657	SRS2280328	WI017	Wine isolate 17	01-Jan-1950	Spain	Wine	wine017						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190506	SRX2914063	Illumina HiSeq 2000	wine014	2017-06-13	1563	1036	2017-06-13	SRR5678656	SRS2280329	WI014	Wine isolate 14	01-Jan-1950	Germany	Wine	wine014						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190504	SRX2914065	Illumina HiSeq 2000	wine012	2017-06-13	1510	990	2017-06-13	SRR5678654	SRS2280330	WI012	Wine isolate 12	01-Jan-1950	missing	Wine	wine012						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190507	SRX2914064	Illumina HiSeq 2000	wine015	2017-06-13	1417	911	2017-06-13	SRR5678655	SRS2280331	WI015	Wine isolate 15	01-Jan-1950	France	Wine	wine015						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190505	SRX2914066	Illumina HiSeq 2000	wine013	2017-06-13	2192	1440	2017-06-13	SRR5678653	SRS2280332	WI013	Wine isolate 13	01-Jan-1950	France	Wine	wine013						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190502	SRX2914067	Illumina HiSeq 2000	wine010	2017-06-13	1480	1003	2017-06-13	SRR5678652	SRS2280333	WI010	Wine isolate 10	01-Jan-1950	France	Wine	wine010						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190503	SRX2914068	Illumina HiSeq 2000	wine011	2017-06-13	1482	970	2017-06-13	SRR5678651	SRS2280334	WI011	Wine isolate 11	01-Jan-1950	France	Wine	wine011						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190417	SRX2914069	Illumina HiSeq 2500	beer056	2017-06-15	334	229	2017-06-15	SRR5688164	SRS2280335	BE056	Beer isolate 56	15-Jun-1995	United Kingdom: England	Beer	beer056						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190417	SRX2914069	Illumina HiSeq 2500	beer056	2017-06-15	1218	521	2017-06-15	SRR5688165	SRS2280335	BE056	Beer isolate 56	15-Jun-1995	United Kingdom: England	Beer	beer056						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190416	SRX2914070	Illumina HiSeq 2500	beer055	2017-06-15	426	291	2017-06-15	SRR5688162	SRS2280336	BE055	Beer isolate 55	15-Jun-1995	United Kingdom: England	Beer	beer055						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190416	SRX2914070	Illumina HiSeq 2500	beer055	2017-06-15	1427	612	2017-06-15	SRR5688163	SRS2280336	BE055	Beer isolate 55	15-Jun-1995	United Kingdom: England	Beer	beer055						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190419	SRX2914071	Illumina HiSeq 2500	beer058	2017-06-15	287	193	2017-06-15	SRR5688168	SRS2280337	BE058	Beer isolate 58	15-Jun-1995	United Kingdom: England	Beer	beer058						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190419	SRX2914071	Illumina HiSeq 2500	beer058	2017-06-15	1058	442	2017-06-15	SRR5688169	SRS2280337	BE058	Beer isolate 58	15-Jun-1995	United Kingdom: England	Beer	beer058						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190418	SRX2914072	Illumina HiSeq 2500	beer057	2017-06-15	450	313	2017-06-15	SRR5688166	SRS2280338	BE057	Beer isolate 57	15-Jun-1995	United Kingdom: England	Beer	beer057						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190418	SRX2914072	Illumina HiSeq 2500	beer057	2017-06-15	1585	689	2017-06-15	SRR5688167	SRS2280338	BE057	Beer isolate 57	15-Jun-1995	United Kingdom: England	Beer	beer057						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190413	SRX2914073	Illumina HiSeq 2500	beer052	2017-06-15	445	303	2017-06-15	SRR5688156	SRS2280339	BE052	Beer isolate 52	15-Jun-1995	Australia	Beer	beer052						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190413	SRX2914073	Illumina HiSeq 2500	beer052	2017-06-15	1591	670	2017-06-15	SRR5688157	SRS2280339	BE052	Beer isolate 52	15-Jun-1995	Australia	Beer	beer052						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190412	SRX2914074	Illumina HiSeq 2500	beer051	2017-06-15	399	266	2017-06-15	SRR5688154	SRS2280340	BE051	Beer isolate 51	15-Jun-1995	USA	Beer	beer051						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190412	SRX2914074	Illumina HiSeq 2500	beer051	2017-06-15	1702	700	2017-06-15	SRR5688155	SRS2280340	BE051	Beer isolate 51	15-Jun-1995	USA	Beer	beer051						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190415	SRX2914075	Illumina HiSeq 2500	beer054	2017-06-15	370	254	2017-06-15	SRR5688160	SRS2280341	BE054	Beer isolate 54	15-Jun-1995	United Kingdom: England	Beer	beer054						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190415	SRX2914075	Illumina HiSeq 2500	beer054	2017-06-15	1115	487	2017-06-15	SRR5688161	SRS2280341	BE054	Beer isolate 54	15-Jun-1995	United Kingdom: England	Beer	beer054						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190414	SRX2914076	Illumina HiSeq 2500	beer053	2017-06-15	295	203	2017-06-15	SRR5688158	SRS2280342	BE053	Beer isolate 53	15-Jun-1995	missing	Beer	beer053						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190414	SRX2914076	Illumina HiSeq 2500	beer053	2017-06-15	1048	453	2017-06-15	SRR5688159	SRS2280342	BE053	Beer isolate 53	15-Jun-1995	missing	Beer	beer053						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190421	SRX2914077	Illumina HiSeq 2500	beer060	2017-06-15	588	395	2017-06-15	SRR5688172	SRS2280343	BE060	Beer isolate 60	15-Jun-1995	United Kingdom: Scotland	Beer	beer060						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190421	SRX2914077	Illumina HiSeq 2500	beer060	2017-06-15	2061	859	2017-06-15	SRR5688173	SRS2280343	BE060	Beer isolate 60	15-Jun-1995	United Kingdom: Scotland	Beer	beer060						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190420	SRX2914078	Illumina HiSeq 2500	beer059	2017-06-15	457	304	2017-06-15	SRR5688170	SRS2280344	BE059	Beer isolate 59	15-Jun-1995	United Kingdom: England	Beer	beer059						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190420	SRX2914078	Illumina HiSeq 2500	beer059	2017-06-15	1141	468	2017-06-15	SRR5688171	SRS2280344	BE059	Beer isolate 59	15-Jun-1995	United Kingdom: England	Beer	beer059						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190501	SRX2914079	Illumina HiSeq 2000	wine009	2017-06-13	1302	866	2017-06-13	SRR5678640	SRS2280345	WI009	Wine isolate 9	01-Jan-1950	Germany	Wine	wine009						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
172	SAMN05190500	SRX2914080	Illumina HiSeq 2000	wine008	2017-06-13	1192	834	2017-06-13	SRR5678639	SRS2280346	WI008	Wine isolate 8	01-Jan-1950	missing	Wine	wine008						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
188	SAMN05190495	SRX2914081	Illumina HiSeq 2000	wine003	2017-06-13	1392	831	2017-06-13	SRR5678638	SRS2280347	WI003	Wine isolate 3	01-Jan-1950	France	Wine	wine003						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190494	SRX2914082	Illumina HiSeq 2000	wine002	2017-06-13	1415	911	2017-06-13	SRR5678637	SRS2280348	WI002	Wine isolate 2	01-Jan-1950	Russia	Wine	wine002						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190493	SRX2914083	Illumina HiSeq 2000	wine001	2017-06-13	1293	831	2017-06-13	SRR5678636	SRS2280349	WI001	Wine isolate 1	01-Jan-1950	France	Wine	wine001						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190499	SRX2914085	Illumina HiSeq 2000	wine007	2017-06-13	1718	1130	2017-06-13	SRR5678634	SRS2280350	WI007	Wine isolate 7	01-Jan-1950	Germany	Wine	wine007						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
202	SAMN05190492	SRX2914084	Illumina HiSeq 2500	spirits011	2017-06-15	715	473	2017-06-15	SRR5688266	SRS2280351	SP011	Spirits isolate 11	15-Jun-1995	missing	Spirits	spirits011						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
150	SAMN05190492	SRX2914084	Illumina HiSeq 2500	spirits011	2017-06-15	2151	880	2017-06-15	SRR5688267	SRS2280351	SP011	Spirits isolate 11	15-Jun-1995	missing	Spirits	spirits011						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
188	SAMN05190498	SRX2914086	Illumina HiSeq 2000	wine006	2017-06-13	1446	893	2017-06-13	SRR5678633	SRS2280352	WI006	Wine isolate 6	01-Jan-1950	Germany	Wine	wine006						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
